Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965
Costa Rica	CRI	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	44.558	44.125	43.469	42.597	41.53	40.284
Caribbean small states	CSS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	40.30751376	39.99358033	39.51527869	38.8793901	38.11076351	37.24472994
Cuba	CUB	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	31.95	33.187	34.162	34.723	34.8	34.401
Curacao	CUW	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Cayman Islands	CYM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Cyprus	CYP	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	25.558	25.222	24.746	24.113	23.339	22.473
Czech Republic	CZE	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	13.4	13.7	13.9	15.4	15.9	15.1
Germany	DEU	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	17.3	17.9	17.8	18.1	18	17.4
Djibouti	DJI	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	43.595	43.872	44.125	44.351	44.546	44.713
Dominica	DMA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Denmark	DNK	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	16.6	16.6	16.7	17.6	17.7	18
Dominican Republic	DOM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	51.889	51.048	50.122	49.13	48.093	47.03
Algeria	DZA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	49.671	49.576	49.416	49.181	48.877	48.524
East Asia & Pacific (excluding high income)	EAP	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	26.59031822	24.55346051	38.50021624	43.06358297	39.84463941	38.80942697
Early-demographic dividend	EAR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	43.627366	43.38576039	43.1218637	42.83592107	42.53381865	42.21885057
East Asia & Pacific	EAS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	26.27842331	24.4610312	36.35736247	40.26109962	37.48056933	36.6142756
Europe & Central Asia (excluding high income)	ECA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	27.31294301	26.43506004	25.47687361	24.524089	23.55353872	22.60867022
Europe & Central Asia	ECS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	22.09906978	21.78308623	21.32885175	21.02097498	20.70957292	20.01185992
Ecuador	ECU	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	44.27	44.047	43.819	43.583	43.334	43.062
"Egypt, Arab Rep."	EGY	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.199	46.572	45.977	45.424	44.914	44.436
Euro area	EMU	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	18.83871268	19.01736162	18.8988046	19.00440946	19.20846908	18.6173353
Eritrea	ERI	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.727	48.612	48.458	48.278	48.081	47.871
Spain	ESP	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	21.7	21.2	21.1	21.4	22	21.1
Estonia	EST	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	16.7	16.5	16.1	15.3	15.4	14.6
Ethiopia	ETH	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.821	47.837	47.843	47.828	47.789	47.741
European Union	EUU	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	18.57959196	18.53409438	18.33731958	18.415015	18.50989623	17.95739326
Fragile and conflict affected situations	FCS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	46.9122052	46.83380954	46.770903	46.71611141	46.66199553	46.59999049
Finland	FIN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	18.5	18.4	18.1	18.2	17.7	17.1
Fiji	FJI	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	45.415	44.277	42.999	41.636	40.247	38.894
France	FRA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	18.7	18.7	18.6	18.5	18.4	18.2
Faroe Islands	FRO	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
"Micronesia, Fed. Sts."	FSM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	43.567	43.218	42.933	42.706	42.523	42.357
Gabon	GAB	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	32.86	33.436	34.027	34.61	35.166	35.668
United Kingdom	GBR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	17.5	17.9	18.3	18.5	18.8	18.3
Georgia	GEO	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	25.078	24.858	24.511	24.053	23.507	22.898
Ghana	GHA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	46.808	47.021	47.199	47.334	47.421	47.45
Gibraltar	GIB	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Guinea	GIN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	46.05	45.86	45.669	45.485	45.319	45.186
"Gambia, The"	GMB	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	49.297	49.531	49.677	49.757	49.793	49.816
Guinea-Bissau	GNB	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.367	42.172	42.035	41.954	41.924	41.943
Equatorial Guinea	GNQ	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	41.49	41.393	41.337	41.326	41.362	41.439
Greece	GRC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	18.9	17.9	18	17.5	18	17.7
Grenada	GRD	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	44.853	43.465	41.625	39.425	37.01	34.594
Greenland	GRL	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Guatemala	GTM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.399	47.843	47.334	46.884	46.502	46.189
Guam	GUM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	37.601	37.994	38.025	37.659	36.928	35.932
Guyana	GUY	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	43.02	42.124	41.204	40.308	39.471	38.721
High income	HIC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	21.65882353	21.48789565	21.14903509	21.00403741	20.85390424	20.15009553
"Hong Kong SAR, China"	HKG	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	35.246	35	34	33.5	30.7	28.1
