Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965
Qatar	QAT	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.381	41.741	41.146	40.595	40.082	39.568
Romania	ROU	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	19.1	17.5	16.2	15.7	15.2	14.6
Russian Federation	RUS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	23.788	22.734	21.543	20.257	18.936	17.676
Rwanda	RWA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	52.248	51.642	51.036	50.471	49.985	49.617
South Asia	SAS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.96067582	42.7713694	42.55887728	42.32242901	42.06701383	41.79553299
Saudi Arabia	SAU	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.577	47.576	47.556	47.511	47.439	47.343
Sudan	SDN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	46.7	46.76	46.831	46.906	46.98	47.047
Senegal	SEN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	50.325	50.287	50.258	50.234	50.213	50.193
Singapore	SGP	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	37.5	35.2	33.7	33.2	31.6	29.5
Solomon Islands	SLB	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	40.781	40.863	40.937	41.021	41.148	41.386
Sierra Leone	SLE	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.149	47.425	47.698	47.951	48.17	48.348
El Salvador	SLV	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.381	47.17	46.866	46.472	46.003	45.481
San Marino	SMR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Somalia	SOM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.63	47.52	47.424	47.34	47.262	47.186
Serbia	SRB	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Sub-Saharan Africa (excluding high income)	SSA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.50474292	47.4585171	47.41106502	47.35956591	47.29010843	47.2156552
South Sudan	SSD	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	50.87	51.09	51.27	51.41	51.508	51.558
Sub-Saharan Africa	SSF	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.50474292	47.4585171	47.41106502	47.35956591	47.29010843	47.2156552
Small states	SST	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	38.86316611	38.41747684	38.13589545	37.82796156	37.41940018	36.80727565
Sao Tome and Principe	STP	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.615	47.35	46.929	46.345	45.616	44.781
Suriname	SUR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	45.47	45.118	44.633	43.99	43.186	42.24
Slovak Republic	SVK	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	21.7	20.8	19.8	20.4	20.1	19.3
Slovenia	SVN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	17.6	18.2	18.1	18	17.9	18.5
Sweden	SWE	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	13.7	13.9	14.2	14.8	16	15.9
Swaziland	SWZ	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.593	47.682	47.813	47.983	48.182	48.4
Sint Maarten (Dutch part)	SXM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Seychelles	SYC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Syrian Arab Republic	SYR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.441	48.087	47.729	47.374	47.034	46.729
Turks and Caicos Islands	TCA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Chad	TCD	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	45.764	45.668	45.587	45.531	45.511	45.549
East Asia & Pacific (IDA & IBRD countries)	TEA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	26.45376096	24.40330509	38.54705354	43.17525066	39.91074558	38.85246864
Europe & Central Asia (IDA & IBRD countries)	TEC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	26.72663305	25.77481937	24.81047238	23.89736668	22.92454633	22.02421911
Togo	TGO	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.479	47.568	47.663	47.757	47.847	47.93
Thailand	THA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.737	42.618	42.47	42.284	42.042	41.709
Tajikistan	TJK	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.646	48.472	48.073	47.477	46.729	45.895
Turkmenistan	TKM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	45.71	45.552	45.121	44.433	43.534	42.495
Latin America & the Caribbean (IDA & IBRD countries)	TLA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	41.79023816	41.51538455	41.18505766	40.79239855	40.33908525	39.83293499
Timor-Leste	TLS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	46.228	46.235	46.208	46.127	45.972	45.726
Middle East & North Africa (IDA & IBRD countries)	TMN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.78820423	47.45910968	47.12389586	46.77771279	46.41789157	46.03643251
Tonga	TON	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.175	46.721	46.124	45.38	44.491	43.437
South Asia (IDA & IBRD)	TSA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.96067582	42.7713694	42.55887728	42.32242901	42.06701383	41.79553299
Sub-Saharan Africa (IDA & IBRD countries)	TSS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.50474292	47.4585171	47.41106502	47.35956591	47.29010843	47.2156552
Trinidad and Tobago	TTO	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	37.333	36.733	35.869	34.731	33.361	31.862
Tunisia	TUN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	45.474	45.404	45.284	45.102	44.843	44.489
Turkey	TUR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	45.393	44.721	44.044	43.376	42.732	42.132
Tuvalu	TUV	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Tanzania	TZA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	49.296	49.249	49.191	49.125	49.053	48.972
Uganda	UGA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	49.557	49.427	49.319	49.231	49.16	49.098
Ukraine	UKR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	21.011	19.808	18.654	17.615	16.739	16.063
Upper middle income	UMC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	27.53932983	25.83866978	36.53212462	39.93057832	37.2470961	36.24625995
Uruguay	URY	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	22.075	22.007	21.867	21.661	21.406	21.139
United States	USA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	23.7	23.3	22.4	21.7	21.1	19.4
Uzbekistan	UZB	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	44.066	43.94	43.564	42.949	42.133	41.185
St. Vincent and the Grenadines	VCT	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.877	47.297	46.647	45.939	45.187	44.406
"Venezuela, RB"	VEN	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	46.461	46.393	46.121	45.607	44.847	43.849
British Virgin Islands	VGB	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Virgin Islands (U.S.)	VIR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	35	34.62	34.24	33.86	33.48	33.1
Vietnam	VNM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.165	41.66	41.048	40.371	39.668	38.985
Vanuatu	VUT	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.783	48.29	47.716	47.061	46.339	45.57
World	WLD	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	31.8042302	31.08560415	34.93783345	36.11062702	35.00233795	34.38696213
Samoa	WSM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.133	47.772	47.325	46.766	46.091	45.314
Kosovo	XKX	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
"Yemen, Rep."	YEM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	50.428	50.896	51.374	51.844	52.286	52.664
South Africa	ZAF	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	40.222	39.987	39.731	39.455	39.163	38.869
Zambia	ZMB	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	49.994	50.14	50.213	50.207	50.129	50
Zimbabwe	ZWE	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.164	48.162	48.128	48.055	47.948	47.818
